,State,Title,Year,epa,epa_change
70,Arizona,Total Agriculture (annual),2019,133841088.882496,-108823.85775998235
71,Arizona,Total Agriculture (annual),2020,133757610.608224,-83478.27427199483
72,Arizona,Total Coal Mines (annual),2012,2310637.879296,
73,Arizona,Total Coal Mines (annual),2013,2349612.924928,38975.04563200008
74,Arizona,Total Coal Mines (annual),2014,2487378.509824,137765.58489599964
75,Arizona,Total Coal Mines (annual),2015,2104862.96576,-382515.5440639998
76,Arizona,Total Coal Mines (annual),2016,1671071.00672,-433791.9590400001
77,Arizona,Total Coal Mines (annual),2017,1922822.569984,251751.563264
78,Arizona,Total Coal Mines (annual),2018,2021121.327104,98298.75711999997
79,Arizona,Total Coal Mines (annual),2019,1841406.672896,-179714.65420799982
80,Arizona,Total Coal Mines (annual),2020,1400428.167168,-440978.5057280001
81,Arizona,Total Methane (annual),2012,272719584.308928,
82,Arizona,Total Methane (annual),2013,270841143.8736,-1878440.4353280067
83,Arizona,Total Methane (annual),2014,276386646.308032,5545502.43443197
84,Arizona,Total Methane (annual),2015,271602989.773376,-4783656.534655988
85,Arizona,Total Methane (annual),2016,276280987.608192,4677997.834816039
86,Arizona,Total Methane (annual),2017,272632521.98393595,-3648465.6242560744
87,Arizona,Total Methane (annual),2018,279938526.156608,7306004.172672033
88,Arizona,Total Methane (annual),2019,281473600.705472,1535074.548864007
89,Arizona,Total Methane (annual),2020,279568516.326272,-1905084.3791999817
90,Arizona,Total Natural Gas Systems (annual),2012,47085428.60646061,
91,Arizona,Total Natural Gas Systems (annual),2013,47700885.676572,615457.0701113939
92,Arizona,Total Natural Gas Systems (annual),2014,45155473.736921385,-2545411.9396506175
93,Arizona,Total Natural Gas Systems (annual),2015,47938201.21513535,2782727.478213966
94,Arizona,Total Natural Gas Systems (annual),2016,50915474.987794966,2977273.7726596147
95,Arizona,Total Natural Gas Systems (annual),2017,48701695.7562882,-2213779.231506765
96,Arizona,Total Natural Gas Systems (annual),2018,52904154.48948385,4202458.733195648
97,Arizona,Total Natural Gas Systems (annual),2019,53375144.623457216,470990.1339733675
98,Arizona,Total Natural Gas Systems (annual),2020,55634030.77867584,2258886.1552186236
99,Arizona,Total Other (annual),2012,5524355.586233061,
100,Arizona,Total Other (annual),2013,5621475.732000304,97120.14576724358
101,Arizona,Total Other (annual),2014,5366376.039215624,-255099.69278468005
102,Arizona,Total Other (annual),2015,5391419.138668753,25043.099453128874
103,Arizona,Total Other (annual),2016,5085295.212652409,-306123.92601634376
104,Arizona,Total Other (annual),2017,5139576.283432373,54281.0707799634
105,Arizona,Total Other (annual),2018,5753326.383570379,613750.1001380058
106,Arizona,Total Other (annual),2019,5888458.420134224,135132.03656384535
107,Arizona,Total Other (annual),2020,5363241.717975732,-525216.7021584921
108,Arizona,Total Petroleum Systems (annual),2012,47285.633664,
109,Arizona,Total Petroleum Systems (annual),2013,76649.342816,29363.709152000003
110,Arizona,Total Petroleum Systems (annual),2014,78988.061264,2338.7184479999996
111,Arizona,Total Petroleum Systems (annual),2015,52201.42668800001,-26786.634575999997
112,Arizona,Total Petroleum Systems (annual),2016,19109.382144,-33092.044544000004
113,Arizona,Total Petroleum Systems (annual),2017,19515.308032,405.9258880000016
114,Arizona,Total Petroleum Systems (annual),2018,18075.162624,-1440.1454080000003
115,Arizona,Total Petroleum Systems (annual),2019,18199.371776,124.20915199999945
116,Arizona,Total Petroleum Systems (annual),2020,19894.501376,1695.1296000000002
117,Arizona,Total Waste (annual),2012,86443837.87490717,
118,Arizona,Total Waste (annual),2013,85164345.17350106,-1279492.7014061064
119,Arizona,Total Waste (annual),2014,94136840.19345698,8972495.019955918
120,Arizona,Total Waste (annual),2015,89963810.67143786,-4173029.522019118
121,Arizona,Total Waste (annual),2016,91525940.66139305,1562129.9899551868
122,Arizona,Total Waste (annual),2017,83880348.93066773,-7645591.730725318
123,Arizona,Total Waste (annual),2018,85291935.06980878,1411586.139141053
124,Arizona,Total Waste (annual),2019,86509301.46825455,1217366.3984457701
125,Arizona,Total Waste (annual),2020,83393310.86788784,-3115990.6003667116
126,Arkansas,Total Agriculture (annual),2012,467400554.273536,
127,Arkansas,Total Agriculture (annual),2013,362399918.2842881,-105000635.98924792
128,Arkansas,Total Agriculture (annual),2014,410540612.143744,48140693.85945588
129,Arkansas,Total Agriculture (annual),2015,444158984.8736,33618372.729856014
130,Arkansas,Total Agriculture (annual),2016,423638354.97984,-20520629.893760026
131,Arkansas,Total Agriculture (annual),2017,411155287.767552,-12483067.212287962
132,Arkansas,Total Agriculture (annual),2018,422283818.34304,11128530.575487971
133,Arkansas,Total Agriculture (annual),2019,413448486.015232,-8835332.327807963
134,Arkansas,Total Agriculture (annual),2020,424793505.798784,11345019.783551991
135,Arkansas,Total Coal Mines (annual),2012,8839321.242624,
136,Arkansas,Total Coal Mines (annual),2013,4902542.43328,-3936778.8093439993
137,Arkansas,Total Coal Mines (annual),2014,4069413.390336,-833129.0429440006
138,Arkansas,Total Coal Mines (annual),2015,12708899.735552,8639486.345216
139,Arkansas,Total Coal Mines (annual),2016,5660120.794112,-7048778.94144
140,Arkansas,Total Coal Mines (annual),2017,17483513.531391997,11823392.737279996
141,Arkansas,Total Coal Mines (annual),2018,1689847.068672,-15793666.462719997
142,Arkansas,Total Coal Mines (annual),2019,1502541.48608,-187305.58259200002
143,Arkansas,Total Coal Mines (annual),2020,1374370.87744,-128170.60863999999
144,Arkansas,Total Methane (annual),2012,746135632.134656,
145,Arkansas,Total Methane (annual),2013,636590511.29088,-109545120.84377599
146,Arkansas,Total Methane (annual),2014,670705050.025984,34114538.735104084
147,Arkansas,Total Methane (annual),2015,712583481.550848,41878431.52486396
148,Arkansas,Total Methane (annual),2016,675692063.361536,-36891418.18931198
149,Arkansas,Total Methane (annual),2017,672182258.7648,-3509804.5967360735
150,Arkansas,Total Methane (annual),2018,667768880.748544,-4413378.016255975
151,Arkansas,Total Methane (annual),2019,661315446.234624,-6453434.5139199495
152,Arkansas,Total Methane (annual),2020,664494165.982976,3178719.7483519316
153,Arkansas,Total Natural Gas Systems (annual),2012,138539824.60990837,
154,Arkansas,Total Natural Gas Systems (annual),2013,148720209.3682695,10180384.758361131
155,Arkansas,Total Natural Gas Systems (annual),2014,140431325.17007688,-8288884.198192626
156,Arkansas,Total Natural Gas Systems (annual),2015,143962808.23526412,3531483.0651872456
157,Arkansas,Total Natural Gas Systems (annual),2016,142269857.76831612,-1692950.4669480026
158,Arkansas,Total Natural Gas Systems (annual),2017,142936767.7050526,666909.9367364943
159,Arkansas,Total Natural Gas Systems (annual),2018,145481494.81369227,2544727.1086396575
160,Arkansas,Total Natural Gas Systems (annual),2019,146605130.9601995,1123636.1465072334
161,Arkansas,Total Natural Gas Systems (annual),2020,141721773.74430662,-4883357.215892881
162,Arkansas,Total Other (annual),2012,10487411.141651625,
163,Arkansas,Total Other (annual),2013,11181182.111961626,693770.9703100007
164,Arkansas,Total Other (annual),2014,11040881.041234251,-140301.0707273744
165,Arkansas,Total Other (annual),2015,10523381.442596,-517499.5986382514
166,Arkansas,Total Other (annual),2016,9979615.589521063,-543765.8530749362
167,Arkansas,Total Other (annual),2017,8526732.223594282,-1452883.3659267817
168,Arkansas,Total Other (annual),2018,8614743.368072,88011.14447771758
169,Arkansas,Total Other (annual),2019,8690237.821295,75494.45322300121
170,Arkansas,Total Other (annual),2020,8009062.594823282,-681175.2264717184
171,Arkansas,Total Petroleum Systems (annual),2012,3713169.685248,
172,Arkansas,Total Petroleum Systems (annual),2013,4232012.203648,518842.51839999994
173,Arkansas,Total Petroleum Systems (annual),2014,4389249.718272001,157237.51462400053
174,Arkansas,Total Petroleum Systems (annual),2015,4227970.571456,-161279.14681600034
175,Arkansas,Total Petroleum Systems (annual),2016,4117501.712736,-110468.85872000037
176,Arkansas,Total Petroleum Systems (annual),2017,4141523.500416,24021.787680000067
177,Arkansas,Total Petroleum Systems (annual),2018,4558670.7232,417147.222784
178,Arkansas,Total Petroleum Systems (annual),2019,4738536.290272,179865.56707200035
179,Arkansas,Total Petroleum Systems (annual),2020,4849658.945424,111122.65515199956
180,Arkansas,Total Waste (annual),2012,117155350.5217558,
181,Arkansas,Total Waste (annual),2013,105154647.2932989,-12000703.2284569
182,Arkansas,Total Waste (annual),2014,100233570.05447078,-4921077.238828123
183,Arkansas,Total Waste (annual),2015,97001434.6139452,-3232135.4405255765
184,Arkansas,Total Waste (annual),2016,90026611.68041873,-6974822.933526471
185,Arkansas,Total Waste (annual),2017,87938432.21597141,-2088179.4644473195
186,Arkansas,Total Waste (annual),2018,85140308.50840618,-2798123.707565233
187,Arkansas,Total Waste (annual),2019,86330514.72563212,1190206.217225939
188,Arkansas,Total Waste (annual),2020,83745793.11713225,-2584721.6084998697
189,California,Total Agriculture (annual),2012,1158096295.625804,
190,California,Total Agriculture (annual),2013,1143611543.817104,-14484751.808699846
191,California,Total Agriculture (annual),2014,1168462991.965616,24851448.148511887
192,California,Total Agriculture (annual),2015,1150749652.4229958,-17713339.542620182
193,California,Total Agriculture (annual),2016,1138919975.161868,-11829677.26112771
194,California,Total Agriculture (annual),2017,1132977464.485816,-5942510.6760520935
195,California,Total Agriculture (annual),2018,1133850050.5224922,872586.0366761684
196,California,Total Agriculture (annual),2019,1124142216.30254,-9707834.219952106
197,California,Total Agriculture (annual),2020,1135663837.564564,11521621.262023926
198,California,Total Coal Mines (annual),2012,0.0,
199,California,Total Coal Mines (annual),2013,0.0,0.0
200,California,Total Coal Mines (annual),2014,0.0,0.0
201,California,Total Coal Mines (annual),2015,0.0,0.0
202,California,Total Coal Mines (annual),2016,0.0,0.0
203,California,Total Coal Mines (annual),2017,0.0,0.0
204,California,Total Coal Mines (annual),2018,0.0,0.0
205,California,Total Coal Mines (annual),2019,0.0,0.0
206,California,Total Coal Mines (annual),2020,0.0,0.0
207,California,Total Methane (annual),2012,2113116700.328188,
208,California,Total Methane (annual),2013,2093829889.230896,-19286811.097291946
209,California,Total Methane (annual),2014,2118576588.933984,24746699.703088045
210,California,Total Methane (annual),2015,2164675464.711604,46098875.77762008
211,California,Total Methane (annual),2016,2008330480.106644,-156344984.6049602
212,California,Total Methane (annual),2017,2002619974.476648,-5710505.629995823
213,California,Total Methane (annual),2018,1981716335.570828,-20903638.90582013
214,California,Total Methane (annual),2019,1977978906.3259,-3737429.244927883
215,California,Total Methane (annual),2020,1982040475.254276,4061568.9283759594
216,California,Total Natural Gas Systems (annual),2012,189488062.6404476,
217,California,Total Natural Gas Systems (annual),2013,187114135.97614187,-2373926.6643057168
218,California,Total Natural Gas Systems (annual),2014,189570203.817592,2456067.841450125
219,California,Total Natural Gas Systems (annual),2015,280334792.1758676,90764588.35827562
220,California,Total Natural Gas Systems (annual),2016,215762744.71375737,-64572047.46211025
221,California,Total Natural Gas Systems (annual),2017,187272594.0927513,-28490150.62100607
222,California,Total Natural Gas Systems (annual),2018,190128590.96483368,2855996.8720823824
223,California,Total Natural Gas Systems (annual),2019,189061500.6861838,-1067090.2786498666
224,California,Total Natural Gas Systems (annual),2020,189345690.68433213,284189.9981483221
225,California,Total Other (annual),2012,41154177.83989573,
226,California,Total Other (annual),2013,44292596.63342495,3138418.79352922
227,California,Total Other (annual),2014,43062251.856939375,-1230344.7764855772
228,California,Total Other (annual),2015,40988028.86900496,-2074222.987934418
229,California,Total Other (annual),2016,38010368.72104941,-2977660.1479555443
230,California,Total Other (annual),2017,32701896.370265096,-5308472.350784317
231,California,Total Other (annual),2018,33365385.87956021,663489.5092951134
232,California,Total Other (annual),2019,34052925.508981235,687539.6294210255
233,California,Total Other (annual),2020,31182303.553980958,-2870621.9550002776
234,California,Total Petroleum Systems (annual),2012,144908695.28009602,
235,California,Total Petroleum Systems (annual),2013,159247696.48511997,14339001.205023944
236,California,Total Petroleum Systems (annual),2014,160483877.360192,1236180.8750720322
237,California,Total Petroleum Systems (annual),2015,156496934.622976,-3986942.737215996
238,California,Total Petroleum Systems (annual),2016,147879115.45286405,-8617819.170111954
239,California,Total Petroleum Systems (annual),2017,146792958.301568,-1086157.1512960494
240,California,Total Petroleum Systems (annual),2018,126516944.22105598,-20276014.080512017
241,California,Total Petroleum Systems (annual),2019,127322941.350144,805997.1290880144
242,California,Total Petroleum Systems (annual),2020,137019165.796576,9696224.446431994
243,California,Total Waste (annual),2012,579469462.7412257,
244,California,Total Waste (annual),2013,559563926.3756354,-19905536.365590334
245,California,Total Waste (annual),2014,556997254.4762605,-2566671.8993748426
246,California,Total Waste (annual),2015,536106050.4177199,-20891204.058540642
247,California,Total Waste (annual),2016,467758277.4082918,-68347773.00942808
248,California,Total Waste (annual),2017,502875057.4076783,35116779.99938649
249,California,Total Waste (annual),2018,497855352.66758686,-5019704.740091443
250,California,Total Waste (annual),2019,503399320.1351483,5543967.467561424
251,California,Total Waste (annual),2020,488829476.5927768,-14569843.542371511
252,Colorado,Total Agriculture (annual),2012,304232392.393216,
253,Colorado,Total Agriculture (annual),2013,291628001.258368,-12604391.134847999
254,Colorado,Total Agriculture (annual),2014,289264307.99104,-2363693.267328024
255,Colorado,Total Agriculture (annual),2015,297575126.884096,8310818.893056035
256,Colorado,Total Agriculture (annual),2016,310506325.69241595,12931198.808319926
257,Colorado,Total Agriculture (annual),2017,323937240.445952,13430914.753536046
258,Colorado,Total Agriculture (annual),2018,329998069.200512,6060828.754559994
259,Colorado,Total Agriculture (annual),2019,330265603.48774403,267534.28723204136
260,Colorado,Total Agriculture (annual),2020,329279816.932864,-985786.554880023
261,Colorado,Total Coal Mines (annual),2012,243700072.47819203,
262,Colorado,Total Coal Mines (annual),2013,138196150.615472,-105503921.86272004
263,Colorado,Total Coal Mines (annual),2014,122033872.41990402,-16162278.195567966
264,Colorado,Total Coal Mines (annual),2015,100699566.70952,-21334305.710384026
265,Colorado,Total Coal Mines (annual),2016,78724795.55235198,-21974771.157168016
266,Colorado,Total Coal Mines (annual),2017,70168429.130784,-8556366.421567976
267,Colorado,Total Coal Mines (annual),2018,61572995.508704,-8595433.622080006
268,Colorado,Total Coal Mines (annual),2019,57660775.176784,-3912220.331919998
269,Colorado,Total Coal Mines (annual),2020,50717275.70390399,-6943499.472880013
270,Colorado,Total Methane (annual),2012,1125295523.71456,
271,Colorado,Total Methane (annual),2013,1031744207.218176,-93551316.49638402
272,Colorado,Total Methane (annual),2014,1031809304.65536,65097.43718397617
273,Colorado,Total Methane (annual),2015,962880105.487616,-68929199.16774404
274,Colorado,Total Methane (annual),2016,920051279.783936,-42828825.70367992
275,Colorado,Total Methane (annual),2017,932467590.762496,12416310.97855997
276,Colorado,Total Methane (annual),2018,939099150.126592,6631559.3640960455
277,Colorado,Total Methane (annual),2019,929561448.746496,-9537701.380096078
278,Colorado,Total Methane (annual),2020,898874869.321728,-30686579.42476797
279,Colorado,Total Natural Gas Systems (annual),2012,364416502.8479278,
280,Colorado,Total Natural Gas Systems (annual),2013,374192520.88678384,9776018.03885603
281,Colorado,Total Natural Gas Systems (annual),2014,356585471.1545091,-17607049.73227471
282,Colorado,Total Natural Gas Systems (annual),2015,361959051.2550584,5373580.100549281
283,Colorado,Total Natural Gas Systems (annual),2016,344382345.3328646,-17576705.922193825
284,Colorado,Total Natural Gas Systems (annual),2017,351349523.3802599,6967178.047395289
285,Colorado,Total Natural Gas Systems (annual),2018,364176281.9860368,12826758.605776906
286,Colorado,Total Natural Gas Systems (annual),2019,357092673.72695935,-7083608.25907743
287,Colorado,Total Natural Gas Systems (annual),2020,337493351.471386,-19599322.255573332
288,Colorado,Total Other (annual),2012,11533731.980002122,
289,Colorado,Total Other (annual),2013,12590006.72073795,1056274.7407358289
290,Colorado,Total Other (annual),2014,12713869.7319603,123863.01122234948
291,Colorado,Total Other (annual),2015,12189914.194799297,-523955.5371610038
292,Colorado,Total Other (annual),2016,11694823.200197523,-495090.9946017731
293,Colorado,Total Other (annual),2017,12605145.278291706,910322.0780941825
294,Colorado,Total Other (annual),2018,12810606.91615414,205461.6378624346
295,Colorado,Total Other (annual),2019,13043632.95357854,233026.0374243986
296,Colorado,Total Other (annual),2020,11979875.64566352,-1063757.3079150189
297,Colorado,Total Petroleum Systems (annual),2012,98055270.537104,
298,Colorado,Total Petroleum Systems (annual),2013,89978121.91500801,-8077148.622095987
299,Colorado,Total Petroleum Systems (annual),2014,86805864.871984,-3172257.0430240035
300,Colorado,Total Petroleum Systems (annual),2015,77400653.73336,-9405211.138623998
301,Colorado,Total Petroleum Systems (annual),2016,70050850.610464,-7349803.122896001
302,Colorado,Total Petroleum Systems (annual),2017,60476943.205312006,-9573907.405152
303,Colorado,Total Petroleum Systems (annual),2018,54430629.048688,-6046314.156624004
304,Colorado,Total Petroleum Systems (annual),2019,53870520.298240006,-560108.750447996
305,Colorado,Total Petroleum Systems (annual),2020,56149972.923456,2279452.6252159923
306,Colorado,Total Waste (annual),2012,103357553.4129213,
307,Colorado,Total Waste (annual),2013,125159406.7970678,21801853.38414651
308,Colorado,Total Waste (annual),2014,164405912.32516974,39246505.528101936
309,Colorado,Total Waste (annual),2015,113055797.9719198,-51350114.35324994
310,Colorado,Total Waste (annual),2016,104692144.06651124,-8363653.905408561
311,Colorado,Total Waste (annual),2017,113930310.54978444,9238166.483273193
312,Colorado,Total Waste (annual),2018,116110567.10632925,2180256.5565448105
313,Colorado,Total Waste (annual),2019,117628249.7049702,1517682.5986409485
314,Colorado,Total Waste (annual),2020,113254575.19803695,-4373674.506933242
315,Connecticut,Total Agriculture (annual),2012,8444619.915776,
316,Connecticut,Total Agriculture (annual),2013,8533504.292096,88884.37632000074
317,Connecticut,Total Agriculture (annual),2014,8083112.627583999,-450391.664512001
318,Connecticut,Total Agriculture (annual),2015,8535846.527104,452733.89952000044
319,Connecticut,Total Agriculture (annual),2016,8925743.744768,389897.21766399965
320,Connecticut,Total Agriculture (annual),2017,8947324.363648,21580.618879999965
321,Connecticut,Total Agriculture (annual),2018,9049993.348096,102668.98444800079
322,Connecticut,Total Agriculture (annual),2019,9027010.682496,-22982.66559999995
323,Connecticut,Total Agriculture (annual),2020,9044016.271744,17005.589247999713
324,Connecticut,Total Coal Mines (annual),2012,0.0,
325,Connecticut,Total Coal Mines (annual),2013,0.0,0.0
326,Connecticut,Total Coal Mines (annual),2014,0.0,0.0
327,Connecticut,Total Coal Mines (annual),2015,0.0,0.0
328,Connecticut,Total Coal Mines (annual),2016,0.0,0.0
329,Connecticut,Total Coal Mines (annual),2017,0.0,0.0
330,Connecticut,Total Coal Mines (annual),2018,0.0,0.0
331,Connecticut,Total Coal Mines (annual),2019,0.0,0.0
332,Connecticut,Total Coal Mines (annual),2020,0.0,0.0
333,Connecticut,Total Methane (annual),2012,45424635.285504006,
334,Connecticut,Total Methane (annual),2013,48396455.084032,2971819.7985279933
335,Connecticut,Total Methane (annual),2014,46097173.0944,-2299281.9896319956
336,Connecticut,Total Methane (annual),2015,44033346.801664,-2063826.2927360013
337,Connecticut,Total Methane (annual),2016,42043523.260416,-1989823.5412480012
338,Connecticut,Total Methane (annual),2017,42326976.032768,283452.77235200256
339,Connecticut,Total Methane (annual),2018,42940799.553536,613823.5207679942
340,Connecticut,Total Methane (annual),2019,43030059.614208,89260.06067200005
341,Connecticut,Total Methane (annual),2020,42446822.25664,-583237.3575679958
342,Connecticut,Total Natural Gas Systems (annual),2012,13221659.244032,
343,Connecticut,Total Natural Gas Systems (annual),2013,13158310.168704,-63349.07532799989
344,Connecticut,Total Natural Gas Systems (annual),2014,12500975.277056,-657334.8916480001
345,Connecticut,Total Natural Gas Systems (annual),2015,12759291.922048,258316.64499200135
346,Connecticut,Total Natural Gas Systems (annual),2016,12815738.485888,56446.56383999996
347,Connecticut,Total Natural Gas Systems (annual),2017,12554411.451264,-261327.034624001
348,Connecticut,Total Natural Gas Systems (annual),2018,12875091.099136,320679.64787200093
349,Connecticut,Total Natural Gas Systems (annual),2019,12911863.219455998,36772.12031999789
350,Connecticut,Total Natural Gas Systems (annual),2020,13017270.729727998,105407.51027199998
351,Connecticut,Total Other (annual),2012,5053600.985344,
352,Connecticut,Total Other (annual),2013,5764985.163264,711384.1779199997
353,Connecticut,Total Other (annual),2014,5787335.037312,22349.8740480002
354,Connecticut,Total Other (annual),2015,5501656.948864,-285678.08844800014
355,Connecticut,Total Other (annual),2016,4908690.8416,-592966.107264
356,Connecticut,Total Other (annual),2017,5023051.346432,114360.50483200047
357,Connecticut,Total Other (annual),2018,5476152.442112,453101.09567999933
358,Connecticut,Total Other (annual),2019,5641733.281408,165580.83929600008
359,Connecticut,Total Other (annual),2020,5046706.164480001,-595027.1169279991
360,Connecticut,Total Petroleum Systems (annual),2012,0.0,
361,Connecticut,Total Petroleum Systems (annual),2013,0.0,0.0
362,Connecticut,Total Petroleum Systems (annual),2014,0.0,0.0
363,Connecticut,Total Petroleum Systems (annual),2015,0.0,0.0
364,Connecticut,Total Petroleum Systems (annual),2016,0.0,0.0
365,Connecticut,Total Petroleum Systems (annual),2017,0.0,0.0
366,Connecticut,Total Petroleum Systems (annual),2018,0.0,0.0
367,Connecticut,Total Petroleum Systems (annual),2019,0.0,0.0
368,Connecticut,Total Petroleum Systems (annual),2020,0.0,0.0
369,Connecticut,Total Waste (annual),2012,18704755.579904,
370,Connecticut,Total Waste (annual),2013,20939655.03616,2234899.4562559985
371,Connecticut,Total Waste (annual),2014,19725750.30336,-1213904.7327999994
372,Connecticut,Total Waste (annual),2015,17236551.579775997,-2489198.7235840037
373,Connecticut,Total Waste (annual),2016,15393350.49728,-1843201.0824959967
374,Connecticut,Total Waste (annual),2017,15802188.84992,408838.3526400011
375,Connecticut,Total Waste (annual),2018,15539562.902144,-262625.94777600095
376,Connecticut,Total Waste (annual),2019,15449452.448576,-90110.45356800035
377,Connecticut,Total Waste (annual),2020,15338829.460992,-110622.98758400045
378,Delaware,Total Agriculture (annual),2012,3783376.567808,
379,Delaware,Total Agriculture (annual),2013,3693176.727552,-90199.84025599994
380,Delaware,Total Agriculture (annual),2014,3703581.372416,10404.644863999914
381,Delaware,Total Agriculture (annual),2015,3862092.855808,158511.4833920002
382,Delaware,Total Agriculture (annual),2016,3893671.442944001,31578.58713600086
383,Delaware,Total Agriculture (annual),2017,3907358.14144,13686.698495998979
384,Delaware,Total Agriculture (annual),2018,3968040.114688,60681.97324800026
385,Delaware,Total Agriculture (annual),2019,3948772.324352,-19267.790336000267
386,Delaware,Total Agriculture (annual),2020,3969732.6402559993,20960.315903999377
387,Delaware,Total Coal Mines (annual),2012,0.0,
388,Delaware,Total Coal Mines (annual),2013,0.0,0.0
389,Delaware,Total Coal Mines (annual),2014,0.0,0.0
390,Delaware,Total Coal Mines (annual),2015,0.0,0.0
